28102024_21:44:32,tiny,TS_0001,s8,p8,r0,best_iou=0.1818,best_dice=0.3075
28102024_21:48:44,tiny,TS_0001,s8,p8,r1,best_iou=0.2068,best_dice=0.3425
28102024_21:52:25,tiny,TS_0001,s8,p8,r2,best_iou=0.2059,best_dice=0.3412
28102024_21:56:46,tiny,TS_0001,s8,p8,r3,best_iou=0.2379,best_dice=0.3840
28102024_21:59:31,tiny,TS_0001,s8,p8,r4,best_iou=0.2264,best_dice=0.3690
28102024_22:02:54,tiny,TS_0001,s8,p12,r0,best_iou=0.2561,best_dice=0.4071
28102024_22:05:18,tiny,TS_0001,s8,p12,r1,best_iou=0.2600,best_dice=0.4121
28102024_22:07:55,tiny,TS_0001,s8,p12,r2,best_iou=0.2552,best_dice=0.4060
28102024_22:10:22,tiny,TS_0001,s8,p12,r3,best_iou=0.2526,best_dice=0.4029
28102024_22:12:49,tiny,TS_0001,s8,p12,r4,best_iou=0.2563,best_dice=0.4073
28102024_22:15:25,tiny,TS_0001,s8,p16,r0,best_iou=0.2420,best_dice=0.3891
28102024_22:18:59,tiny,TS_0001,s8,p16,r1,best_iou=0.2245,best_dice=0.3664
28102024_22:22:08,tiny,TS_0001,s8,p16,r2,best_iou=0.2223,best_dice=0.3633
28102024_22:24:34,tiny,TS_0001,s8,p16,r3,best_iou=0.2302,best_dice=0.3739
28102024_22:27:18,tiny,TS_0001,s8,p16,r4,best_iou=0.2469,best_dice=0.3952
28102024_22:29:54,tiny,TS_0001,s8,p20,r0,best_iou=0.1447,best_dice=0.2521
28102024_22:33:07,tiny,TS_0001,s8,p20,r1,best_iou=0.1239,best_dice=0.2201
28102024_22:35:32,tiny,TS_0001,s8,p20,r2,best_iou=0.1532,best_dice=0.2652
28102024_22:39:42,tiny,TS_0001,s8,p20,r3,best_iou=0.1344,best_dice=0.2365
28102024_22:45:05,tiny,TS_0001,s8,p20,r4,best_iou=0.1024,best_dice=0.1854
