24102024_22:56:38,tiny,TS_0001,s32,p0,r0,best_iou=0.0645,best_dice=0.1208
24102024_23:02:12,tiny,TS_0001,s32,p0,r1,best_iou=0.1264,best_dice=0.2242
24102024_23:05:55,tiny,TS_0001,s32,p0,r2,best_iou=0.0589,best_dice=0.1106
24102024_23:10:25,tiny,TS_0001,s32,p0,r3,best_iou=0.0279,best_dice=0.0537
24102024_23:13:07,tiny,TS_0001,s32,p0,r4,best_iou=0.0876,best_dice=0.1608
24102024_23:18:50,tiny,TS_0001,s32,p1,r0,best_iou=0.2513,best_dice=0.4012
24102024_23:22:25,tiny,TS_0001,s32,p1,r1,best_iou=0.2289,best_dice=0.3721
24102024_23:30:14,tiny,TS_0001,s32,p1,r2,best_iou=0.2377,best_dice=0.3836
24102024_23:34:59,tiny,TS_0001,s32,p1,r3,best_iou=0.2229,best_dice=0.3642
24102024_23:38:47,tiny,TS_0001,s32,p1,r4,best_iou=0.2417,best_dice=0.3887
24102024_23:43:48,tiny,TS_0001,s32,p2,r0,best_iou=0.2828,best_dice=0.4401
24102024_23:46:51,tiny,TS_0001,s32,p2,r1,best_iou=0.2834,best_dice=0.4407
24102024_23:51:25,tiny,TS_0001,s32,p2,r2,best_iou=0.2820,best_dice=0.4391
24102024_23:54:59,tiny,TS_0001,s32,p2,r3,best_iou=0.2716,best_dice=0.4266
24102024_23:58:21,tiny,TS_0001,s32,p2,r4,best_iou=0.2586,best_dice=0.4103
25102024_00:02:27,tiny,TS_0001,s32,p3,r0,best_iou=0.2858,best_dice=0.4436
25102024_00:05:47,tiny,TS_0001,s32,p3,r1,best_iou=0.2923,best_dice=0.4511
25102024_00:09:23,tiny,TS_0001,s32,p3,r2,best_iou=0.3024,best_dice=0.4625
25102024_00:13:10,tiny,TS_0001,s32,p3,r3,best_iou=0.2796,best_dice=0.4362
25102024_00:16:45,tiny,TS_0001,s32,p3,r4,best_iou=0.2789,best_dice=0.4353
25102024_00:19:48,tiny,TS_0001,s32,p4,r0,best_iou=0.2411,best_dice=0.3881
25102024_00:23:21,tiny,TS_0001,s32,p4,r1,best_iou=0.2527,best_dice=0.4029
25102024_00:26:02,tiny,TS_0001,s32,p4,r2,best_iou=0.2468,best_dice=0.3952
25102024_00:30:10,tiny,TS_0001,s32,p4,r3,best_iou=0.2523,best_dice=0.4022
25102024_00:33:05,tiny,TS_0001,s32,p4,r4,best_iou=0.2539,best_dice=0.4042
25102024_00:36:12,tiny,TS_0001,s32,p5,r0,best_iou=0.1840,best_dice=0.3103
25102024_00:40:21,tiny,TS_0001,s32,p5,r1,best_iou=0.1918,best_dice=0.3214
25102024_00:44:29,tiny,TS_0001,s32,p5,r2,best_iou=0.1577,best_dice=0.2720
25102024_00:48:37,tiny,TS_0001,s32,p5,r3,best_iou=0.2081,best_dice=0.3441
25102024_00:51:19,tiny,TS_0001,s32,p5,r4,best_iou=0.2151,best_dice=0.3537
