28102024_17:35:55,tiny,TS_0001,s16,p4,r0,best_iou=0.2705,best_dice=0.4249
28102024_17:40:21,tiny,TS_0001,s16,p4,r1,best_iou=0.2741,best_dice=0.4294
28102024_17:43:25,tiny,TS_0001,s16,p4,r2,best_iou=0.2721,best_dice=0.4271
28102024_17:46:40,tiny,TS_0001,s16,p4,r3,best_iou=0.2642,best_dice=0.4172
28102024_17:50:18,tiny,TS_0001,s16,p4,r4,best_iou=0.2478,best_dice=0.3966
28102024_17:53:07,tiny,TS_0001,s16,p6,r0,best_iou=0.2871,best_dice=0.4444
28102024_17:56:12,tiny,TS_0001,s16,p6,r1,best_iou=0.2786,best_dice=0.4350
28102024_17:59:15,tiny,TS_0001,s16,p6,r2,best_iou=0.2820,best_dice=0.4391
28102024_18:02:42,tiny,TS_0001,s16,p6,r3,best_iou=0.2752,best_dice=0.4306
28102024_18:05:32,tiny,TS_0001,s16,p6,r4,best_iou=0.1705,best_dice=0.2909
28102024_18:09:35,tiny,TS_0001,s16,p8,r0,best_iou=0.2634,best_dice=0.4161
28102024_18:12:27,tiny,TS_0001,s16,p8,r1,best_iou=0.2510,best_dice=0.4007
28102024_18:16:17,tiny,TS_0001,s16,p8,r2,best_iou=0.2706,best_dice=0.4254
28102024_18:19:32,tiny,TS_0001,s16,p8,r3,best_iou=0.2552,best_dice=0.4059
28102024_18:22:48,tiny,TS_0001,s16,p8,r4,best_iou=0.2717,best_dice=0.4267
28102024_18:25:38,tiny,TS_0001,s16,p10,r0,best_iou=0.1845,best_dice=0.3113
28102024_18:30:32,tiny,TS_0001,s16,p10,r1,best_iou=0.1763,best_dice=0.2994
28102024_18:34:58,tiny,TS_0001,s16,p10,r2,best_iou=0.1591,best_dice=0.2742
28102024_18:39:50,tiny,TS_0001,s16,p10,r3,best_iou=0.1949,best_dice=0.3258
28102024_18:47:28,tiny,TS_0001,s16,p10,r4,best_iou=0.1753,best_dice=0.2979
