494,551,251
542,670,223
540,494,249
139,583,223
153,428,259
117,559,210
668,582,266
418,535,261
873,362,248
298,715,243
439,484,254
359,321,248
407,754,215
638,879,215
351,383,243
330,437,225
647,904,230
846,893,247
586,617,241
418,372,269
809,899,245
646,871,243
363,654,237
650,718,224
577,787,222
385,790,237
93,289,253
258,544,247
731,843,223
711,591,240
541,547,241
278,605,250
618,848,213
574,467,237
403,409,236
775,728,231
854,431,247
167,601,208
124,502,226
926,864,260
375,803,221
446,694,241
42,386,246
799,900,219
368,679,222
460,366,245
148,615,232
534,364,269
78,259,254
556,638,241
621,809,223
118,362,230
763,491,243
808,597,230
376,819,207
804,603,250
872,437,266
125,212,264
811,399,249
425,786,235
474,789,236
104,216,240
305,605,247
411,452,226
145,557,212
81,237,254
650,703,252
933,728,243
645,746,236
907,848,217
49,546,196
156,444,217
848,686,259
671,852,202
425,658,247
