167,740,606
550,903,610
542,848,610
381,825,610
477,810,610
574,814,610
231,838,610
70,884,610
560,743,598
615,829,598
422,712,598
373,789,598
417,870,598
485,912,598
664,714,598
514,872,616
188,875,616
205,860,616
613,862,616
600,833,616
394,891,625
471,899,625
242,895,625
146,830,616
431,757,601
450,759,601
530,836,601
609,789,601
502,736,592
409,681,592
284,680,592
69,676,592
44,675,592
80,802,592
234,802,592
602,774,592
437,835,607
295,766,607
462,835,607
568,720,589
546,705,589
61,745,592
598,682,592
169,861,595
346,849,610
37,692,586
559,688,586
331,599,580
547,604,580
594,635,580
706,629,580
354,599,580
468,613,580
427,586,577
629,653,577
92,749,577
604,591,577
483,564,577
467,563,577
132,548,567
150,507,567
727,582,573
552,776,573
471,808,573
394,543,573
534,589,573
305,705,567
294,726,567
112,694,567
209,767,567
657,578,567
673,602,567
694,558,567
605,531,567
30,813,567
129,573,567
421,534,555
677,513,555
618,582,555
274,505,555
717,451,555
713,504,555
730,520,555
744,503,555
773,513,555
794,507,555
801,456,555
721,590,555
674,591,555
668,618,555
649,618,555
543,912,555
501,756,555
484,665,555
435,757,555
648,502,555
593,590,555
120,836,555
563,465,549
455,396,549
450,365,549
116,533,549
380,721,549
480,784,549
468,819,549
672,475,549
794,481,549
286,413,549
240,378,549
229,361,549
146,620,549
636,590,549
86,584,549
323,412,549
410,490,549
534,818,543
171,426,543
203,370,543
235,305,543
264,304,543
426,355,543
440,330,543
366,733,543
33,843,543
554,799,543
182,879,543
60,639,543
708,461,543
657,529,543
472,493,534
494,493,534
726,391,534
746,388,534
736,364,534
744,332,534
580,314,534
400,308,534
385,300,534
311,284,534
607,718,534
726,575,534
653,555,534
688,474,534
729,470,534
809,322,534
619,346,534
668,305,534
751,310,534
375,895,534
167,623,534
222,421,534
211,352,534
298,388,534
358,400,534
349,444,534
419,515,534
586,571,534
830,325,534
859,333,534
621,288,534
510,783,534
28,680,531
107,772,531
174,458,531
251,265,531
266,236,531
291,250,531
322,255,531
344,248,531
357,236,531
493,264,531
618,258,531
749,290,531
782,287,531
442,538,531
501,739,531
609,692,531
544,811,531
557,781,531
303,555,531
445,389,531
621,457,531
566,703,525
575,685,525
233,297,525
336,231,525
326,295,525
426,300,525
440,289,525
482,281,525
528,280,525
555,281,525
602,293,525
609,310,525
627,301,525
687,313,534
692,509,537
680,492,537
532,656,537
501,323,537
751,475,537
311,338,548
31,715,548
795,399,548
619,389,548
647,469,548
655,551,563
761,550,563
440,688,563
475,680,563
480,826,563
675,557,555
339,384,552
597,743,552
568,679,546
591,687,546
579,759,546
615,406,540
649,595,534
801,374,525
120,805,525
303,401,525
707,244,519
785,257,519
776,303,519
774,474,519
700,489,519
691,510,519
678,495,519
471,362,519
418,253,519
568,240,519
603,195,519
681,234,519
730,205,519
758,250,519
816,336,519
795,335,519
810,306,519
828,312,519
826,264,519
846,271,519
501,653,519
399,599,519
204,764,519
144,462,519
188,376,519
203,356,519
395,374,519
122,716,519
625,538,519
743,367,519
483,223,519
506,218,519
534,377,519
608,442,519
522,509,519
780,194,516
795,212,516
823,201,516
888,233,516
829,374,516
688,410,516
718,518,516
298,673,516
333,176,516
282,204,516
692,205,516
579,312,516
487,345,516
529,827,516
351,134,516
508,185,516
413,173,516
29,779,516
216,360,503
339,218,503
361,224,503
376,265,503
397,627,503
481,864,503
717,489,503
785,421,503
761,341,503
808,327,503
658,308,503
672,290,503
650,284,503
586,288,503
545,271,503
531,307,503
521,284,503
633,173,503
534,105,503
533,136,503
431,140,503
382,123,503
745,437,503
760,457,503
797,260,503
827,288,503
771,514,503
547,797,503
172,638,503
144,457,503
334,102,503
361,178,503
385,187,503
398,166,503
549,188,503
639,239,503
508,421,503
510,462,494
481,887,494
193,689,494
88,543,494
107,590,494
131,475,494
479,559,494
468,585,494
463,690,494
630,546,494
639,516,494
746,358,494
804,375,494
590,266,494
555,251,494
472,249,494
459,233,494
441,206,494
446,150,494
293,252,494
597,147,494
651,163,494
619,211,494
555,379,494
490,401,494
731,277,494
457,116,494
477,104,494
488,84,494
506,74,494
551,86,494
551,58,494
385,102,494
642,129,494
629,112,494
720,170,494
826,211,494
849,201,494
872,207,494
639,76,494
698,91,494
716,92,494
738,102,494
769,140,494
725,146,494
816,189,494
849,164,494
900,135,494
310,599,494
593,87,494
593,111,494
728,50,494
874,59,494
776,161,494
791,143,494
193,358,494
577,700,494
825,358,494
906,164,494
